Lexeme,Token,Count
public,Keyword,2
class,Keyword,1
SyntaxCheck,Identifier,1
{,Seperator,5
static,Keyword,4
void,Keyword,4
main,Identifier,1
(,Seperator,10
String,Identifier,1
[,Seperator,1
],Seperator,1
args,Identifier,1
),Seperator,10
int,Keyword,2
a,Identifier,4
;,Seperator,11
=,Operator,3
5,Literal,1
++,Operator,1
printFunc,Identifier,6
float,Keyword,2
b,Identifier,2
3.14f,float,1
long,Keyword,2
val,Identifier,8
100L,Literal,1
},Seperator,5
System,Identifier,3
.,Seperator,6
out,Identifier,3
println,Identifier,3
