Lexeme,Token,Count
0x1p3,Hex,2
0x7fff_ffff,Hex,1
0177_7777_7777,Octal,1
0b0111_1111_1111_1111_1111_1111_1111_1111,Binary,1
0x8000_0000,Hex,1
0200_0000_0000,Octal,1
0b1000_0000_0000_0000_0000_0000_0000_0000,Binary,1
0x7fff_ffff_ffff_ffffL,Hex,1
07_7777_7777_7777_7777_7777L,Octal,1
0b0111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111L,Binary,1
0x8000_0000_0000_0000L,Hex,1
010_0000_0000_0000_0000_0000L,Octal,1
0b1000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000_0000L,Binary,1
0xffff_ffff_ffff_ffffL,Hex,1
017_7777_7777_7777_7777_7777L,Octal,1
0b1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111_1111L,Binary,1
0,Octal,1
2,Literal,1
0372,Octal,1
0xDada_Cafe,Hex,1
1996,Literal,1
0x00_FF__00_FF,Hex,1
0l,Octal,1
0777L,Octal,1
0x100000000L,Hex,1
2_147_483_648L,Literal,1
0xC0B0L,Hex,1
3.4028235e38f,float,1
0x1.fffffeP+127f,float,1
1.4e-45f,float,1
0x0.000002P-126f,float,1
0x1.0P-149f,float,1
1.7976931348623157e308,float,1
0x1.f_ffff_ffff_ffffP+1023,float,1
4.9e-324,float,1
0x0.0_0000_0000_0001P-1022,float,1
0x1.0P-1074,float,1
1e1f,float,1
2.f,float,1
.3f,float,1
0f,float,1
3.14f,float,1
6.022137e+23f,float,1
1e1,float,1
2.,float,1
.3,float,1
0.0,float,1
3.14,float,1
1e-9d,float,1
1e137,float,1
